X,Y,fid,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
121.649932699375,25.2040566716128,"1","0","0","0","0",0.00000000000000,89.99999999924871
121.652620694139,25.2042328708311,"1","1","0","0","1",0.00269376354208,88.20273567607288
121.655314447715,25.2042255426545,"1","2","0","0","2",0.00538752708524,92.10900224005471
121.658001444026,25.2040347211314,"1","3","0","0","3",0.00808129062916,96.01526880795616
121.660669198394,25.2036612928823,"1","4","0","0","4",0.01077505417239,99.92153538544213
121.663305315546,25.2031069929781,"1","5","0","0","5",0.01346881771417,103.82780195269038
121.665897547206,25.2023743968821,"1","6","0","0","6",0.01616258125589,107.73406851409504
121.668433849005,25.2014669084774,"1","7","0","0","7",0.01885634479828,111.64033508114407
121.670902436443,25.2003887442579,"1","8","0","0","8",0.02155010834063,115.54660165234851
121.673291839641,25.1991449137313,"1","9","0","0","9",0.02424387188316,119.45286820915364
121.675590956642,25.1977411961489,"1","10","0","0","10",0.02693763542784,123.35913476222711
121.677789104979,25.196184113649,"1","11","0","0","11",0.02963139897024,127.26540135515879
121.679876071325,25.1944809009528,"1","12","0","0","12",0.03232516251163,131.17166791688771
121.681842158945,25.1926394717539,"1","13","0","0","13",0.03501892605479,135.07793449434942
121.683678232737,25.1906683819425,"1","14","0","0","14",0.03771268959582,138.98420106870890
121.685375761699,25.1885767898584,"1","15","0","0","15",0.04040645313822,142.89046758245672
121.686926858547,25.1863744137327,"1","16","0","0","16",0.04310021668215,146.79673417766995
121.688324316361,25.1840714865357,"1","17","0","0","17",0.04579398022355,150.70300075361561
121.689561642099,25.1816787084326,"1","18","0","0","18",0.04848774376769,154.60926731689261
121.690633086724,25.1792071970667,"1","19","0","0","19",0.05118150730907,158.51553388820133
121.691533671958,25.1766684359,"1","20","0","0","20",0.05387527085188,162.42180045043438
121.692259213374,25.1740742208603,"1","21","0","0","21",0.05656903439365,166.32806701943585
121.692806339874,25.1714366055321,"1","22","0","0","22",0.05926279793675,170.23433357051601
121.69317250932,25.1687678451535,"1","23","0","0","23",0.06195656147904,174.14060016197871
121.693356020369,25.1660803396708,"1","24","0","0","24",0.06465032502190,178.04686672812690
121.693356020369,25.1633865761287,"1","25","0","0","25",0.06734408856399,181.95313327187313
121.69317250932,25.1606990706459,"1","26","0","0","26",0.07003785210685,185.85939983802129
121.692806339874,25.1580303102673,"1","27","0","0","27",0.07273161564913,189.76566643144855
121.692259213374,25.15539269494,"1","28","0","0","28",0.07542537919135,193.67193297992353
121.691533671958,25.1527984798995,"1","29","0","0","29",0.07811914273399,197.57819954696052
121.690633086724,25.1502597187327,"1","30","0","0","30",0.08081290627680,201.48446611179867
121.689561642099,25.1477882073668,"1","31","0","0","31",0.08350666981818,205.39073268310739
121.688324316361,25.1453954292638,"1","32","0","0","32",0.08620043336233,209.29699925140221
121.686926858547,25.1430925020677,"1","33","0","0","33",0.08889419690294,213.20326582177839
121.685375761699,25.140890125941,"1","34","0","0","34",0.09158796044762,217.10953241197385
121.683678232737,25.138798533857,"1","35","0","0","35",0.09428172399002,221.01579893129107
121.681842158945,25.1368274440456,"1","36","0","0","36",0.09697548753105,224.92206550565061
121.679876071325,25.1349860148466,"1","37","0","0","37",0.09966925107421,228.82833208311237
121.677789104979,25.1332828021505,"1","38","0","0","38",0.10236301461560,232.73459864484124
121.675590956642,25.1317257196506,"1","39","0","0","39",0.10505677815800,236.64086523777289
121.673291839641,25.1303220020682,"1","40","0","0","40",0.10775054170267,240.54713179942587
121.670902436443,25.1290781715425,"1","41","0","0","41",0.11044430524479,244.45339834736717
121.668433849005,25.128000007322,"1","42","0","0","42",0.11313806878751,248.35966490999209
121.665897547206,25.1270925189174,"1","43","0","0","43",0.11583183232989,252.26593148590493
121.663305315546,25.1263599228214,"1","44","0","0","44",0.11852559587161,256.17219805677496
121.660669198394,25.125805622918,"1","45","0","0","45",0.12121935941321,260.07846461444427
121.658001444026,25.1254321946681,"1","46","0","0","46",0.12391312295656,263.98473118246488
121.655314447715,25.1252413731449,"1","47","0","0","47",0.12660688650048,267.89099775714942
121.652620694139,25.1252340449681,"1","48","0","0","48",0.12930065004364,271.79726431656928
121.649932699375,25.125410244186,"1","49","0","0","49",0.13199441358569,270.00000000075130
121.647244704609,25.1252340449681,"1","50","0","0","50",0.13468817712883,268.20273568430702
121.644550951038,25.1252413731449,"1","51","0","0","51",0.13738194066767,272.10900224303987
121.641863954726,25.1254321946681,"1","52","0","0","52",0.14007570421150,276.01526881759935
121.639196200358,25.125805622918,"1","53","0","0","53",0.14276946775485,279.92153538555573
121.636560083207,25.1263599228214,"1","54","0","0","54",0.14546323129645,283.82780194322504
121.633967851547,25.1270925189174,"1","55","0","0","55",0.14815699483817,287.73406851409510
121.631431549747,25.128000007322,"1","56","0","0","56",0.15085075838056,291.64033509000791
121.62896296231,25.1290781715425,"1","57","0","0","57",0.15354452192327,295.54660165263283
121.626573559111,25.1303220020682,"1","58","0","0","58",0.15623828546539,299.45286820057407
121.624274442111,25.1317257196506,"1","59","0","0","59",0.15893204901006,303.35913476222709
121.622076293774,25.1332828021505,"1","60","0","0","60",0.16162581255247,307.26540135515870
121.619989327428,25.1349860148466,"1","61","0","0","61",0.16431957609385,311.17166791688771
121.618023239807,25.1368274440456,"1","62","0","0","62",0.16701333963701,315.07793449434939
121.616187166015,25.138798533857,"1","63","0","0","63",0.16970710317804,318.98420106870896
121.614489637053,25.140890125941,"1","64","0","0","64",0.17240086672044,322.89046761965807
121.612938540209,25.1430925020677,"1","65","0","0","65",0.17509463026302,326.79673417677742
121.611541082391,25.1453954292638,"1","66","0","0","66",0.17778839380553,330.70300074988830
121.610303756657,25.1477882073668,"1","67","0","0","67",0.18048215734800,334.60926731576177
121.609232312028,25.1502597187327,"1","68","0","0","68",0.18317592089083,338.51553385270392
121.608331726795,25.1527984798995,"1","69","0","0","69",0.18586968443364,342.42180045303951
121.607606185378,25.15539269494,"1","70","0","0","70",0.18856344797628,346.32806702007645
121.607059058879,25.1580303102673,"1","71","0","0","71",0.19125721151850,350.23433356855145
121.606692889432,25.1606990706459,"1","72","0","0","72",0.19395097506078,354.14060016197868
121.606509378384,25.1633865761287,"1","73","0","0","73",0.19664473860364,358.04686672812687
121.606509378384,25.1660803396708,"1","74","0","0","74",0.19933850214573,1.95313327187311
121.606692889432,25.1687678451535,"1","75","0","0","75",0.20203226568859,5.85939983802129
121.607059058879,25.1714366055321,"1","76","0","0","76",0.20472602923088,9.76566642948400
121.607606185378,25.1740742208603,"1","77","0","0","77",0.20741979277398,13.67193298056414
121.608331726795,25.1766684359,"1","78","0","0","78",0.21011355631575,17.57819954956564
121.609232312028,25.1792071970667,"1","79","0","0","79",0.21280731985856,21.48446614729608
121.610303756657,25.1816787084326,"1","80","0","0","80",0.21550108340138,25.39073268423821
121.611541082391,25.1840714865357,"1","81","0","0","81",0.21819484694386,29.29699924509390
121.612938540209,25.1863744137327,"1","82","0","0","82",0.22088861048714,33.20326582377425
121.614489637053,25.1885767898584,"1","83","0","0","83",0.22358237402898,37.10953238591140
121.616187166015,25.1906683819425,"1","84","0","0","84",0.22627613757138,41.01579893129109
121.618023239807,25.1926394717539,"1","85","0","0","85",0.22896990111241,44.92206550565059
121.619989327428,25.1944809009528,"1","86","0","0","86",0.23166366465557,48.82833208311232
121.622076293774,25.196184113649,"1","87","0","0","87",0.23435742819696,52.73459864484122
121.624274442111,25.1977411961489,"1","88","0","0","88",0.23705119173936,56.64086523777290
121.626573559111,25.1991449137313,"1","89","0","0","89",0.23974495528403,60.54713179084636
121.62896296231,25.2003887442579,"1","90","0","0","90",0.24243871882657,64.45339834765150
121.631431549747,25.2014669084774,"1","91","0","0","91",0.24513248236892,68.35966491885593
121.633967851547,25.2023743968821,"1","92","0","0","92",0.24782624591131,72.26593148590496
121.636560083207,25.2031069929781,"1","93","0","0","93",0.25052000945302,76.17219804730962
121.639196200358,25.2036612928823,"1","94","0","0","94",0.25321377299481,80.07846461455790
121.641863954726,25.2040347211314,"1","95","0","0","95",0.25590753653804,83.98473119197963
121.644550951038,25.2042255426545,"1","96","0","0","96",0.25860130008187,87.89099775975608
121.647244704609,25.2042328708311,"1","97","0","0","97",0.26129506362071,91.79726432305083
121.649932699375,25.2040566716128,"1","98","0","0","98",0.26398882716387,89.99999999924871
